Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
187: Ride or Die;XB;2005;Racing;Ubisoft;5;1;0;0;6
1942;NES;1985;Shooter;Capcom;65;14;21;0;1
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race;GBA;2005;Racing;THQ;9;3;0;0;12
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures;GBA;2007;Action;THQ;126;47;0;3;176
2 Games in 1: Disney Princess & The Lion King;GBA;2004;Misc;THQ;125;46;0;3;175
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2;GBA;2005;Action;THQ;22;8;0;1;31
2 Games in 1: Sonic Advance & ChuChu Rocket!;GBA;2005;Misc;THQ;131;49;0;3;183
2 Games in 1: Sonic Battle & ChuChu Rocket!;GBA;2005;Misc;THQ;44;16;0;1;61
2 Games in 1: Sonic Pinball Party & Columns Crown;GBA;2005;Misc;Sega;4;2;0;0;6
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild;GBA;2005;Platform;THQ;33;12;0;1;45
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;XB;2004;Misc;Sega;4;11;0;2;53
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;X360;2013;Misc;Ubisoft;9;1;0;1;12
2002 FIFA World Cup;PS2;2002;Sports;Electronic Arts;21;17;16;6;59
2002 FIFA World Cup;XB;2002;Sports;Electronic Arts;14;4;0;1;19
2002 FIFA World Cup;GC;2002;Sports;Electronic Arts;4;1;0;0;5
2010 FIFA World Cup South Africa;PS3;2010;Sports;Electronic Arts;3;64;7;22;123
2010 FIFA World Cup South Africa;X360;2010;Sports;Electronic Arts;32;43;2;9;86
2010 FIFA World Cup South Africa;PSP;2010;Sports;Electronic Arts;9;24;3;12;48
2010 FIFA World Cup South Africa;Wii;2010;Sports;Electronic Arts;23;15;1;4;43
2014 FIFA World Cup Brazil;PS3;2014;Sports;Electronic Arts;15;39;1;16;71
2014 FIFA World Cup Brazil;X360;2014;Sports;Electronic Arts;14;28;0;4;47
24: The Game;PS2;2006;Adventure;Sony Computer Entertainment;15;12;0;4;3
25 to Life;PS2;2006;Shooter;Eidos Interactive;35;1;0;6;42
25 to Life;XB;2006;Shooter;Eidos Interactive;12;4;0;1;17
2-in-1 Game Pack: Spider-Man & Spider-Man 2;GBA;2005;Platform;Activision;6;2;0;0;9
2Xtreme;PS;1996;Sports;Sony Computer Entertainment;115;2;0;5;14
3 in 1: Solitaire, Mahjong & Tangram;DS;2010;Misc;Deep Silver;0;7;0;1;8
300: March to Glory;PSP;2007;Action;Warner Bros. Interactive Entertainment;27;8;0;6;41
3D Baseball;PS;1996;Sports;BMG Interactive Entertainment;2;1;0;0;3
3D Dot Game Heroes;PS3;2009;Role-Playing;SouthPeak Games;36;12;3;7;57
3D Lemmings;PS;1995;Puzzle;Psygnosis;3;2;0;0;6
3D Tank Warfare Simulator Panzer Front;PS;1999;Simulation;Avalon Interactive;6;4;0;1;1
3DS Classic Collection;3DS;2016;Misc;Sega;2;0;0;0;3
3rd Super Robot Wars Z Jigoku Hen;PS3;2014;Role-Playing;Namco Bandai Games;0;0;23;0;23
3rd Super Robot Wars Z Jigoku Hen;PSV;2014;Role-Playing;Namco Bandai Games;0;0;19;0;19
3rd Super Robot Wars Z: Tengoku-Hen;PSV;2015;Action;Namco Bandai Games;0;0;19;0;19
3rd Super Robot Wars Z: Tengoku-Hen;PS3;2015;Action;Namco Bandai Games;0;0;15;0;15
3Xtreme;PS;1999;Action;989 Studios;5;34;0;6;9
4 Elements;PC;2009;Puzzle;Mastertronic;0;4;0;1;5
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship;DS;2005;Misc;Atari;11;0;0;1;12
4 Nin uchi Mahjong;NES;1984;Misc;Nintendo;0;0;145;0;145
40 Winks;PS;1999;Platform;GT Interactive;17;12;0;2;31
428: Fuusa Sareta Shibuya de;Wii;2008;Adventure;Sega;0;0;13;0;13
428: Fuusa Sareta Shibuya de;PSP;2009;Adventure;Spike;0;0;4;0;4
428: Fuusa Sareta Shibuya de;PS3;2009;Adventure;Spike;0;0;2;0;2
4x4 EVO 2;XB;2001;Racing;Gathering of Developers;18;5;0;1;24
4x4 EVO 2;GC;2002;Racing;Vivendi Games;11;3;0;0;14
4x4 Evolution;PS2;2001;Racing;Gathering of Developers;16;12;0;4;32
50 Cent: Blood on the Sand;X360;2009;Shooter;THQ;12;7;0;2;21
50 Cent: Blood on the Sand;PS3;2009;Shooter;THQ;1;6;1;3;19
50 Cent: Bulletproof;PS2;2005;Action;Vivendi Games;85;76;0;16;177
50 Cent: Bulletproof;XB;2005;Action;Vivendi Games;33;1;0;2;44
50 Cent: Bulletproof;PSP;2006;Action;Vivendi Games;8;0;0;1;9
50 Classic Games;DS;2009;Misc;Destineer;52;0;0;4;55
50 Classic Games;3DS;2012;Misc;Avanquest Software;0;2;0;0;2
64 de Hakken! Tamagotchi Minna de Tamagotchi World;N64;1997;Misc;Namco Bandai Games;0;0;22;0;22
7 Days to Die;PS4;2016;Action;Telltale Games;3;7;0;2;12
7 Days to Die;XOne;2016;Action;Telltale Games;2;2;0;0;4
7 Roses: A Darkness Rises;PC;2015;Misc;Avanquest Software;0;2;0;0;2
7 Wonders II;DS;2009;Puzzle;Rondomedia;14;15;0;3;32
7 Wonders of the Ancient World;DS;2007;Puzzle;Funsta;1;1;0;1;13
7 Wonders of the Ancient World;PSP;2007;Puzzle;Mumbo Jumbo;7;0;0;1;8
7 Wonders: Treasures of Seven;DS;2011;Puzzle;Avanquest;2;3;0;1;5
7th Dragon;DS;2009;Role-Playing;Sega;0;0;14;0;14
7th Dragon 2020;PSP;2011;Role-Playing;Sega;0;0;2;0;2
7th Dragon 2020-II;PSP;2013;Role-Playing;Sega;0;0;13;0;13
7th Dragon III Code: VFD;3DS;2015;Role-Playing;Sega;3;0;12;0;16
'98 Koshien;PS;1998;Sports;Magical Company;15;1;12;3;41
99 no Namida;DS;2008;Adventure;Namco Bandai Games;0;0;4;0;4
999: Nine Hours, Nine Persons, Nine Doors;DS;2009;Adventure;ChunSoft;37;0;3;3;43
A Boy and His Blob;Wii;2009;Platform;Majesco Entertainment;19;2;0;2;22
A Bug's Life;PS;1998;Platform;Sony Computer Entertainment;196;72;0;11;279
A Bug's Life;N64;1998;Platform;Activision;49;13;0;1;63
A Collection of Activision Classic Games for the Atari 2600;PS;1998;Misc;Activision;76;52;0;9;137
A Collection of Classic Games from the Intellivision;PS;1999;Misc;Activision;17;12;0;2;31
A Game of Thrones: Genesis;PC;2011;Strategy;Focus Home Interactive;0;3;0;1;4
A Good Librarian Like a Good Shepherd: Library Party;PSV;2015;Action;Kaga Create;0;0;3;0;3
A llI S.V.: A Ressha de Gyoukou 3 Super Version;SNES;1995;Simulation;Pack-In-Video;0;0;6;0;6
A New Beginning;PC;2010;Adventure;Deep Silver;0;5;0;1;6
A Ressha de Gyoukou 2001;PS2;2001;Simulation;ArtDink;0;0;3;0;3
A Ressha de Ikou DS;DS;2009;Simulation;ArtDink;0;0;4;0;4
A Vampyre Story;PC;2008;Adventure;Crimson Cow;0;1;0;0;2
A Witch's Tale;DS;2009;Role-Playing;Nippon Ichi Software;8;0;3;1;11
A. IV Evolution: A Ressha de Ikou 4;PS;1994;Strategy;ArtDink;0;0;24;2;25
A.C.E.: Another Century's Episode;PS2;2005;Simulation;Banpresto;0;0;26;0;26
A.C.E.: Another Century's Episode 2;PS2;2006;Simulation;Banpresto;0;0;18;0;18
A.C.E.: Another Century's Episode 3: The Final;PS2;2007;Simulation;Banpresto;0;0;26;0;26
A.C.E.: Another Century's Episode Portable;PSP;2011;Simulation;Namco Bandai Games;0;0;12;0;12
A.C.E.: Another Century's Episode R;PS3;2010;Simulation;Namco Bandai Games;0;0;26;0;26
Aa Megami-samaa;PS2;2007;Adventure;Marvelous Interactive;0;0;1;0;1
ABBA: You Can Dance;Wii;2011;Misc;Ubisoft;19;5;0;11;8
Abunai: Koi no Sousa Shitsu;PSV;2015;Action;Asgard;0;0;2;0;2
Abunai: Koi no Sousa Shitsu;PSP;2012;Action;Quinrose;0;0;1;0;1
AC/DC LIVE: Rock Band Track Pack;Wii;2008;Misc;MTV Games;25;0;0;2;28
AC/DC LIVE: Rock Band Track Pack;PS3;2008;Misc;MTV Games;21;1;0;2;24
AC/DC LIVE: Rock Band Track Pack;X360;2008;Misc;MTV Games;21;0;0;2;23
AC/DC LIVE: Rock Band Track Pack;PS2;2008;Misc;MTV Games;8;6;0;2;16
Academy of Champions: Soccer;Wii;2009;Sports;Ubisoft;1;2;0;1;13
Accel World: Ginyoku no Kakusei;PS3;2012;Adventure;Namco Bandai Games;0;0;3;0;3
Accel World: Ginyoku no Kakusei;PSP;2012;Adventure;Namco Bandai Games;0;0;3;0;3
Accel World: Kasoku no Chouten;PS3;2013;Adventure;Namco Bandai Games;0;0;2;0;2
Accel World: Kasoku no Chouten;PSP;2013;Adventure;Namco Bandai Games;0;0;1;0;1
Ace Attorney 6;3DS;2016;Adventure;Capcom;0;0;27;0;27
Ace Attorney Investigations 2;DS;2011;Adventure;Capcom;0;0;26;0;26
Ace Attorney Investigations: Miles Edgeworth;DS;2009;Adventure;Capcom;27;15;3;4;76
Ace Combat 04: Shattered Skies;PS2;2001;Simulation;Sony Computer Entertainment Europe;206;56;38;17;317
Ace Combat 2;PS;1997;Simulation;Sony Computer Entertainment;16;11;56;6;89
Ace Combat 3: Electrosphere;PS;1999;Simulation;Sony Computer Entertainment;22;15;4;5;83
Ace Combat 5: The Unsung War;PS2;2004;Simulation;Sony Computer Entertainment Europe;88;34;32;18;171
Ace Combat 6: Fires of Liberation;X360;2007;Simulation;Atari;69;4;22;6;102
Ace Combat X: Skies of Deception;PSP;2006;Simulation;Namco Bandai Games;37;31;12;19;99
Ace Combat Zero: The Belkan War;PS2;2006;Simulation;Namco Bandai Games;15;12;2;4;51
Ace Combat: Assault Horizon;PS3;2011;Action;Namco Bandai Games;3;16;22;7;74
Ace Combat: Assault Horizon;X360;2011;Action;Namco Bandai Games;3;12;3;4;49
Ace Combat: Assault Horizon Legacy;3DS;2011;Simulation;Namco Bandai Games;1;6;8;1;24
Ace Combat: Joint Assault;PSP;2010;Simulation;Namco Bandai Games;6;5;15;3;29
Achtung Panzer: Kharkov 1943;PC;2010;Strategy;Mamba Games;0;1;0;0;2
Act of Aggression;PC;2015;Strategy;Focus Home Interactive;0;1;0;0;1
Action Bass;PS;2000;Action;Take-Two Interactive;64;43;0;7;114
Action Force;2600;1982;Action;CPG Products;5;3;0;1;54
Action Man-Operation Extreme;PS;N/A;Action;N/A;5;3;0;1;9
Active Health with Carol Vorderman;DS;2009;Sports;Nintendo;0;18;0;1;19
Active Life Explorer;Wii;2010;Sports;Namco Bandai Games;14;0;0;1;15
Active Life: Extreme Challenge;Wii;2009;Sports;Namco Bandai Games;15;27;0;6;48
Active Life: Magical Carnival;Wii;2011;Misc;Namco Bandai Games;4;1;0;0;5
Active Life: Outdoor Challenge;Wii;2008;Sports;Atari;79;44;19;14;155
Activision Anthology;PS2;2002;Misc;Activision;25;19;0;6;5
Activision Anthology;GBA;2003;Misc;Activision;3;1;0;0;5
Activision Hits: Remixed;PSP;2006;Misc;Activision;5;0;0;0;6
Actua Tennis;PS;1997;Sports;Gremlin Interactive Ltd;7;5;0;1;13
Adidas Power Soccer;PS;1996;Sports;Psygnosis;2;1;0;0;4
Adidas Power Soccer 98;PS;1998;Sports;Psygnosis;1;1;0;0;2
Adrenalin Misfits;X360;2010;Racing;Konami Digital Entertainment;12;2;0;1;14
Advance Guardian Heroes;GBA;2004;Role-Playing;Ubisoft;3;1;0;0;4
Advance Wars;GBA;2001;Strategy;Nintendo;5;19;0;1;7
Advance Wars 2: Black Hole Rising;GBA;2003;Strategy;Nintendo;47;17;0;1;65
Advance Wars: Days of Ruin;DS;N/A;Strategy;Nintendo;44;13;0;6;63
Advance Wars: Dual Strike;DS;2005;Strategy;Nintendo;3;3;4;3;4
Advent Rising;XB;2005;Action;THQ;1;3;0;0;13
Adventure;2600;N/A;Adventure;Atari;121;8;0;1;13
Adventure Island;NES;1986;Platform;Hudson Soft;0;0;105;0;105
Adventure Time: Explore the Dungeon Because I Don't Know!;3DS;2013;Action;D3Publisher;1;3;0;1;14
Adventure Time: Explore the Dungeon Because I Don't Know!;X360;2013;Action;D3Publisher;3;4;0;1;8
Adventure Time: Explore the Dungeon Because I Don't Know!;PS3;2013;Action;D3Publisher;2;2;0;1;5
Adventure Time: Explore the Dungeon Because I Don't Know!;WiiU;2013;Action;D3Publisher;2;1;0;0;3
Adventure Time: Finn & Jake Investigations;PS3;2015;Action;Little Orbit;2;7;0;2;1
Adventure Time: Finn & Jake Investigations;X360;2015;Action;Little Orbit;2;6;0;1;9
Adventure Time: Finn & Jake Investigations;PS4;2015;Action;Little Orbit;3;4;0;1;9
Adventure Time: Finn & Jake Investigations;3DS;2015;Action;Little Orbit;2;5;0;1;7
Adventure Time: Finn & Jake Investigations;WiiU;2015;Action;Little Orbit;3;2;0;0;5
Adventure Time: Finn & Jake Investigations;XOne;2015;Action;Little Orbit;2;2;0;0;5
Adventure Time: The Secret of the Nameless;3DS;2014;Adventure;Little Orbit;1;0;0;0;2
Adventure Time: The Secret of the Nameless;X360;2014;Adventure;Little Orbit;1;0;0;0;1
Adventure Time: The Secret of the Nameless Kingdom;X360;2014;Action;Little Orbit;0;8;0;1;9
Adventure Time: The Secret of the Nameless Kingdom;3DS;2014;Action;Little Orbit;0;7;0;0;8
Adventures of Lolo;NES;1989;Puzzle;HAL Laboratory;6;0;0;0;6
Adventures of Tron;2600;1981;Action;Mattel Interactive;63;3;0;1;67
Adventures to Go!;PSP;2008;Role-Playing;Zushi Games;1;0;1;1;13
Aedis Eclipse: Generation of Chaos;PSP;2006;Role-Playing;Idea Factory;2;0;0;0;2
Aegis of Earth: Protonovus Assault;PSV;2016;Action;PQube;2;1;0;1;4
Aegis of Earth: Protonovus Assault;PS3;2016;Action;PQube;1;1;0;0;3
Aegis of Earth: Protonovus Assault;PS4;2016;Action;PQube;2;0;0;0;2
Aeon Flux;PS2;2005;Action;THQ;2;2;0;1;4
Aeon Flux;XB;2005;Action;THQ;1;0;0;0;1
Aero Elite: Combat Academy;PS2;2002;Simulation;Sega;4;3;0;1;7
Aero Gauge;N64;1997;Racing;ASCII Entertainment;6;1;0;0;7
AeroFighters Assault;N64;1997;Action;Video System;15;4;0;0;19
Afrika;PS3;2008;Adventure;Unknown;12;0;8;1;21
Afro Samurai;X360;2009;Action;Atari;16;5;0;2;24
Afro Samurai;PS3;2009;Action;Atari;12;5;0;3;2
After Hours Athletes;PS3;2011;Sports;Sony Computer Entertainment;0;1;0;3;12
Again;DS;2009;Adventure;Ackkstudios;7;0;0;0;7
Agarest Senki: Re-appearance;PS3;N/A;Role-Playing;Idea Factory;0;0;1;0;1
Agassi Tennis Generation;PS2;2003;Sports;DreamCatcher Interactive;4;3;0;1;9
Agatha Christie: And Then There Were None;Wii;2008;Adventure;The Adventure Company;6;1;0;1;8
Agatha Christie: Death on the Nile;PC;2008;Adventure;Big Fish Games;0;1;0;0;2
Agatha Christie: Evil Under the Sun;Wii;2008;Adventure;The Adventure Company;7;2;0;1;9
Agatha Christie: Peril at End House;PC;2009;Adventure;JoWood Productions;0;1;0;0;1
Agatha Christie: The ABC Murders;DS;2009;Adventure;JoWood Productions;8;1;0;1;1
Agatha Christie: The ABC Murders;PC;2016;Adventure;Microids;0;2;0;0;2
Agatha Christie's The ABC Murders;PS4;2016;Adventure;Microids;1;1;0;0;2
Age of Conan: Rise of the Godslayer;PC;2010;Role-Playing;Funcom;0;2;0;0;3
Age of Empires II: The Age of Kings;PC;1999;Strategy;Microsoft Game Studios;1;8;0;2;1
Age of Empires III;PC;2005;Strategy;Microsoft Game Studios;0;32;0;7;39
Age of Empires III: Complete Collection;PC;2009;Strategy;Microsoft Game Studios;1;12;0;3;17
Age of Empires III: Gold Edition;PC;2007;Strategy;Microsoft Game Studios;0;2;0;1;3
Age of Empires III: The Asian Dynasties;PC;2007;Strategy;Microsoft Game Studios;0;5;0;1;7
Age of Empires Online;PC;2011;Strategy;Microsoft Game Studios;1;4;0;1;6
Age of Empires: Collector's Edition;PC;2000;Strategy;Ubisoft;2;1;0;2;14
Age of Empires: Mythologies;DS;2008;Strategy;THQ;17;3;0;2;22
Age of Empires: The Age of Kings;DS;2006;Strategy;THQ;19;2;0;2;23
Age of Mythology;PC;2002;Strategy;Microsoft Game Studios;2;6;0;1;9
Age of Mythology: The Titans;PC;2003;Strategy;Microsoft Game Studios;1;2;0;0;4
Aggressive Inline;PS2;2002;Sports;Acclaim Entertainment;17;13;0;4;35
Aggressive Inline;XB;2002;Sports;Acclaim Entertainment;5;1;0;0;6
Aggressive Inline;GC;2002;Sports;Acclaim Entertainment;4;1;0;0;6
Agile Warrior F-111X;PS;1995;Simulation;Virgin Interactive;8;5;0;1;14
Aibou DS;DS;2009;Adventure;Tecmo Koei;0;0;8;0;8
Aidyn Chronicles: The First Mage;N64;2001;Role-Playing;THQ;8;2;0;0;1
Aikatsu! 2-nin no My Princess;3DS;2013;Action;Namco Bandai Games;0;0;26;0;26
Aikatsu! 365 Idol Days;3DS;2014;Adventure;Namco Bandai Games;0;0;13;0;13
Aikatsu! Cinderella Lesson;3DS;2012;Role-Playing;Namco Bandai Games;0;0;2;0;2
Aikatsu! My No.1 Stage!;3DS;2015;Misc;Namco Bandai Games;0;0;7;0;7
Ailu de Puzzle;PSP;2012;Action;Capcom;0;0;4;0;4
AIR;PSP;2007;Adventure;Prototype;0;0;2;0;2
Air Combat;PS;1995;Simulation;Sony Computer Entertainment;92;33;52;5;183
Air Conflicts: Aces of World War II;PSP;2009;Simulation;Graffiti;5;0;0;0;5
Air Conflicts: Secret Wars;PS3;2011;Simulation;bitComposer Games;1;6;0;3;19
Air Conflicts: Secret Wars;X360;2011;Simulation;bitComposer Games;6;2;0;1;8
Air Conflicts: Secret Wars;PC;2011;Simulation;bitComposer Games;0;2;0;1;3
Air Raid;2600;1981;Action;Men-A-Vision;72;4;0;1;77
Air Traffic Chaos;DS;2007;Simulation;Ertain;5;0;0;0;5
Airblade;PS2;2001;Sports;Sony Computer Entertainment;11;9;0;3;23
Airborne Troops: Countdown to D-Day;PS2;2005;Shooter;Playlogic Game Factory;6;5;0;2;12
AirForce Delta Storm;XB;2001;Shooter;Konami Digital Entertainment;14;4;0;1;18
AirForce Delta Storm;GBA;2002;Shooter;Konami Digital Entertainment;2;1;0;0;2
AirForce Delta Strike;PS2;2004;Simulation;Konami Digital Entertainment;5;4;0;1;11
Airline Tycoon;PC;2000;Simulation;Interplay;0;1;0;0;2
Airline Tycoon 2;PC;2011;Simulation;Kalypso Media;0;4;0;1;5
Airlock;2600;1981;Action;Data Age;36;2;0;0;39
Airport Simulator;PC;2011;Simulation;Unknown;0;2;0;0;2
Air-Sea Battle;2600;N/A;Shooter;Atari;91;6;0;1;98
Airship Q;PSV;2015;Platform;Cygames;0;0;3;0;3
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin;DS;2008;Adventure;Marvelous Interactive;0;0;6;0;6
Akai Ito DS;DS;2008;Adventure;Alchemist;0;0;2;0;2
Akai Katana Shin;X360;2011;Shooter;Cave;4;0;1;0;6
Akane Iro ni Somaru Saka Parallel;PS2;2008;Adventure;GN Software;0;0;3;0;3
Akatsuki no Amaneka to Aoi Kyojin;PSP;2010;Strategy;CyberFront;0;0;1;0;1
Akatsuki no Goei Trinity;PSP;2012;Adventure;5pb;0;0;1;0;1
Akatsuki no Goei Trinity;PS3;2012;Adventure;5pb;0;0;1;0;1
AKB1/149: Love Election;PSP;2012;Adventure;Namco Bandai Games;0;0;23;0;23
AKB1/149: Love Election;PS3;2013;Adventure;Namco Bandai Games;0;0;8;0;8
AKB1/149: Love Election;PSV;2012;Adventure;Namco Bandai Games;0;0;7;0;7
AKB1/48: Idol to Guam de Koishitara...;PSP;2011;Misc;Namco Bandai Games;0;0;4;0;4
AKB1/48: Idol to Guam de Koishitara...;X360;N/A;Misc;N/A;0;0;1;0;1
AKB1/48: Idol to Koishitara...;PSP;2010;Misc;Namco Bandai Games;0;0;41;0;41
AKB48+Me;3DS;2012;Action;Unknown;0;0;11;0;11
Akiba's Trip;PSP;2011;Adventure;Acquire;0;0;14;0;14
Akiba's Trip Plus;PSP;2012;Adventure;Acquire;0;0;8;0;8
Akiba's Trip: Undead & Undressed;PSV;2013;Action;Nippon Ichi Software;9;2;8;3;21
Akiba's Trip: Undead & Undressed;PS4;2014;Action;Acquire;8;0;1;2;11
Akiba's Trip: Undead & Undressed;PS3;2013;Action;Nippon Ichi Software;5;1;4;1;11
Akko ni Omakase! Brain Shock;DS;2006;Misc;Taito;0;0;4;0;4
Akuji the Heartless;PS;1998;Platform;Eidos Interactive;7;4;0;1;12
Aladdin Magic Racer;Wii;2011;Racing;Big Ben Interactive;1;0;0;0;1
Alan Wake;X360;2010;Action;Microsoft Game Studios;66;51;5;13;135
Alan Wake;PC;2012;Action;Nordic Games;0;6;0;1;7
Alex Rider: Stormbreaker;DS;N/A;Action;THQ;6;0;0;0;7
Alexi Lalas International Soccer;PS;1998;Sports;Take-Two Interactive;4;3;0;0;7
Alfa Romeo Racing Italiano;PS2;2005;Racing;Black Bean Games;1;1;0;0;1
Alias;PS2;2004;Action;Acclaim Entertainment;5;4;0;1;11
Alias;XB;2004;Action;Acclaim Entertainment;4;1;0;0;5
Alia's Carnival! Sacrament;PSV;2015;Adventure;dramatic create;0;0;3;0;3
Alice in Wonderland;Wii;2010;Adventure;Disney Interactive Studios;27;21;0;5;53
Alice in Wonderland;DS;2010;Adventure;Disney Interactive Studios;27;18;0;5;5
Alice: Madness Returns;PS3;2011;Adventure;Electronic Arts;22;25;4;9;6
Alice: Madness Returns;X360;2011;Adventure;Electronic Arts;27;15;4;4;5
Alice: Madness Returns;PC;2011;Adventure;Electronic Arts;0;1;0;2;12
Alien;2600;1981;Action;20th Century Fox Video Games;74;4;0;1;79
Alien Breed Trilogy;X360;2011;Shooter;Mastertronic;0;2;0;0;3
Alien Hominid;PS2;2004;Shooter;Zoo Digital Publishing;5;4;0;1;1
Alien Hominid;GC;2004;Shooter;O3 Entertainment;7;2;0;0;9
Alien Monster Bowling League;Wii;2009;Sports;Destineer;9;0;0;1;9
Alien Resurrection;PS;2000;Shooter;Fox Interactive;9;6;0;1;16
Alien Syndrome;PSP;2007;Role-Playing;Sega;7;0;0;1;8
Alien Syndrome;Wii;2007;Role-Playing;Sega;6;0;0;0;6
Alien Trilogy;PS;1996;Shooter;Acclaim Entertainment;24;16;4;3;47
Alien: Isolation;PS4;2014;Shooter;Sega;34;56;4;19;113
Alien: Isolation;XOne;2014;Shooter;Sega;22;24;0;4;5
Alien: Isolation;PS3;2014;Shooter;Sega;12;19;0;7;37
Alien: Isolation;X360;2014;Shooter;Sega;15;13;0;3;3
Alien: Isolation;PC;2014;Shooter;Sega;0;13;0;1;15
Alienators: Evolution Continues;GBA;2001;Action;Activision;3;1;0;0;3
Aliens in the Attic;Wii;2009;Action;Playlogic Game Factory;7;0;0;1;8
Aliens in the Attic;DS;2009;Action;Playlogic Game Factory;5;0;0;0;5
Alien's Return;2600;1982;Action;ITT Family Games;32;2;0;0;34
Aliens versus Predator: Extinction;PS2;2003;Strategy;Electronic Arts;9;7;0;2;19
